Id,Listing_URL,Name,Property_Type,Room_Type,Min_Nights,Max_Nights,Cancellation_Policy,Accomodates,Total_Bedrooms,Total_Beds,Availability_365,Price,Security_Deposit,Cleaning_fee,Guests_Included,Number_of_Reviews,Review_Scores,Amenities,Host_Id,Host_Name,Country,Longitude,Latitude,Is_location_exact
10133350,https://www.airbnb.com/rooms/10133350,2 bedroom Upper east side,Apartment,Entire home/apt,2,7,strict_14_with_grace_period,5,2,2,0,275,0,35,1,9,90.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Pets allowed, Pets live on this property, Buzzer/wireless intercom, Heating, Family/kid friendly, Essentials, Shampoo, Hair dryer, Iron, Laptop friendly workspace",52004369,Chelsea,United States,-73.95854,40.7664,False
10051164,https://www.airbnb.com/rooms/10051164,Catete's Colonial Big Hause Room B,House,Private room,2,1125,strict_14_with_grace_period,8,1,8,296,250,0,0,4,1,80.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Smoking allowed, Family/kid friendly, First aid kit, Fire extinguisher, Essentials",51326285,Beatriz,Brazil,-43.18015675229857,-22.92638234778768,True
10082307,https://www.airbnb.com/rooms/10082307,Double Room en-suite (307),Apartment,Private room,1,1125,strict_14_with_grace_period,2,1,1,365,361,0,0,2,0,95.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Doorman, Elevator, Family/kid friendly, Shampoo, Hangers, Hair dryer, Iron",51289938,Ken,Hong Kong,114.17158,22.30469,True
10069642,https://www.airbnb.com/rooms/10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,15,20,strict_14_with_grace_period,5,2,2,0,858,4476,112,1,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Hair dryer, Iron",51670240,Jonathan,Brazil,-43.4311123147628,-23.00035792660916,False
10108388,https://www.airbnb.com/rooms/10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,2,30,moderate,2,1,1,265,185,800,120,1,109,100.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Building staff, Private living room, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Cleaning before checkout, Step-free access, Flat path to front door, Well-lit path to entrance, Step-free access",16187044,Desireé,Australia,151.21346,-33.87603,False
10082422,https://www.airbnb.com/rooms/10082422,Nice room in Barcelona Center,Apartment,Private room,1,9,flexible,2,1,2,0,50,100,10,1,0,95.0,"Internet, Wifi, Kitchen, Elevator, Heating, Washer, Shampoo, Hair dryer, Iron, Laptop friendly workspace",30393403,Anna,Spain,2.16942,41.40082,True
10120414,https://www.airbnb.com/rooms/10120414,The LES Apartment,Apartment,Entire home/apt,3,1125,flexible,3,1,1,0,150,200,0,1,0,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",33231070,Mert,United States,-73.98944,40.72063,False
10138784,https://www.airbnb.com/rooms/10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,2,1125,strict_14_with_grace_period,2,1,1,365,46,0,15,1,123,99.0,"Internet, Wifi, Air conditioning, Pets live on this property, Dog(s), Other pet(s), Elevator, Buzzer/wireless intercom, Heating, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Host greets you",52031360,Cheer,United States,-73.88025,40.74953,True
10030955,https://www.airbnb.com/rooms/10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,1,1125,flexible,2,1,1,363,701,1000,250,1,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, 24-hour check-in",51496939,Livia,Brazil,-43.205047082633435,-22.971950988341874,True
10006546,https://www.airbnb.com/rooms/10006546,Ribeira Charming Duplex,House,Entire home/apt,2,30,moderate,8,3,5,239,80,200,35,6,51,89.0,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed, Pets allowed, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Pack ’n Play/travel crib, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Cleaning before checkout, Waterfront",51399391,Ana&Gonçalo,Portugal,-8.61308,41.1413,False
10047964,https://www.airbnb.com/rooms/10047964,Charming Flat in Downtown Moda,House,Entire home/apt,2,1125,flexible,6,2,6,362,527,0,211,1,1,100.0,"TV, Cable TV, Internet, Wifi, Kitchen, Free parking on premises, Pets allowed, Pets live on this property, Cat(s), Heating, Family/kid friendly, Washer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",1241644,Zeynep,Turkey,29.03133,40.98585,True
1001265,https://www.airbnb.com/rooms/1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,3,365,strict_14_with_grace_period,2,1,1,343,115,0,100,1,96,84.0,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Hot tub, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, BBQ grill, Garden or backyard, Well-lit path to entrance, Disabled parking spot, Step-free access, Wide clearance to bed, Step-free access",5448114,David,United States,-157.83919,21.28634,True
10116256,https://www.airbnb.com/rooms/10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,1,1125,moderate,6,2,5,365,997,0,0,1,0,95.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Hot water, Luggage dropoff allowed, Long term stays allowed",51471538,Ahmet,Turkey,28.98818,41.04772,False
10109896,https://www.airbnb.com/rooms/10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,2,1125,moderate,2,1,1,0,250,400,150,1,0,95.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",6517277,Kristin,Australia,151.17956,-33.86296,True
10057447,https://www.airbnb.com/rooms/10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,1,1125,flexible,4,1,2,0,50,0,0,1,0,95.0,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Iron, Laptop friendly workspace",51612949,Konstantin,Canada,-73.59111,45.51889,True
10057826,https://www.airbnb.com/rooms/10057826,Deluxe Loft Suite,Apartment,Entire home/apt,3,1125,strict_14_with_grace_period,4,0,2,243,205,0,0,1,5,88.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Gym, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron",47554473,Mae,United States,-73.94472,40.72778,True
10092679,https://www.airbnb.com/rooms/10092679,Cozy house at Beyoğlu,Apartment,Private room,2,1125,flexible,2,1,1,37,58,0,0,1,27,99.0,"Wifi, Kitchen, Smoking allowed, Breakfast, Pets live on this property, Cat(s), Free street parking, Heating, Washer, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Coffee maker, Refrigerator, Dishwasher, Cooking basics, Patio or balcony, Luggage dropoff allowed, Host greets you",21331922,Ali,Turkey,28.95825,41.03777,False
10228731,https://www.airbnb.com/rooms/10228731,Quarto inteiro na Tijuca,Apartment,Private room,1,15,flexible,1,1,1,178,149,0,30,1,1,100.0,"Internet, Wifi, Kitchen, Free parking on premises, Family/kid friendly, Washer",12673423,Gilberto,Brazil,-43.247421907135774,-22.936203246553816,False
1019168,https://www.airbnb.com/rooms/1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,2,120,strict_14_with_grace_period,1,1,1,0,34,0,25,1,62,98.0,"TV, Wifi, Kitchen, Paid parking off premises, Pets live on this property, Cat(s), Free street parking, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Garden or backyard, Luggage dropoff allowed, Long term stays allowed",39300,Lilou,Canada,-73.58774,45.52028,True
10240767,https://www.airbnb.com/rooms/10240767,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,1,1125,moderate,2,1,1,339,487,0,0,1,162,96.0,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Pets live on this property, Cat(s), Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Children’s books and toys, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout, Host greets you",52491634,Ricky,Hong Kong,113.92823,22.27671,False
1022200,https://www.airbnb.com/rooms/1022200,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,7,7,strict_14_with_grace_period,6,2,3,196,135,200,0,1,1,100.0,"Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Family/kid friendly, Washer, Dryer",3393610,Daniel,United States,-155.96445,19.5702,True
10227000,https://www.airbnb.com/rooms/10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,1,1125,strict_14_with_grace_period,4,1,2,365,499,0,99,1,1,100.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Hot tub, Indoor fireplace, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",12057949,Holly,United States,-156.68012,20.96996,True
10186755,https://www.airbnb.com/rooms/10186755,Roof double bed private room,Loft,Private room,1,1125,flexible,2,1,2,365,185,0,0,1,0,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Elevator, Heating, Family/kid friendly, Washer, Essentials, 24-hour check-in, Hair dryer, Iron, Laptop friendly workspace",52316085,Mustafa,Turkey,29.03693,41.12452,False
10141950,https://www.airbnb.com/rooms/10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,2,1125,moderate,2,0,1,0,966,0,118,1,1,100.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Washer, Dryer, Essentials, Hair dryer, Iron, Laptop friendly workspace",11435086,Regg,Hong Kong,114.15007,22.28422,True
10184012,https://www.airbnb.com/rooms/10184012,Apto semi mobiliado,Apartment,Entire home/apt,1,1125,flexible,2,2,2,365,380,0,0,1,0,95.0,"Air conditioning, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Hangers, Iron",52299431,Ricardo,Brazil,-43.24277868091869,-22.915009354482486,False
10233856,https://www.airbnb.com/rooms/10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,1,500,strict_14_with_grace_period,3,1,2,145,400,0,0,1,22,83.0,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer",52473150,Danny,Hong Kong,114.17073,22.31723,True
10215858,https://www.airbnb.com/rooms/10215858,Cozy Queen Guest Room&My,Apartment,Private room,1,500,strict_14_with_grace_period,2,1,1,135,330,0,0,1,9,73.0,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer",52473150,Danny,Hong Kong,114.17034,22.31655,True
10199760,https://www.airbnb.com/rooms/10199760,Uygun nezih daire,Apartment,Entire home/apt,1,1125,flexible,4,1,2,365,264,527,26,1,0,95.0,"TV, Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",37417314,Yaşar,Turkey,28.89964,40.99667,False
10201975,https://www.airbnb.com/rooms/10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,4,1125,strict_14_with_grace_period,4,2,2,174,298,600,180,2,24,92.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Luggage dropoff allowed, Long term stays allowed, Host greets you",2537111,Barbara,Brazil,-43.1998455458952,-22.980051683700506,False
10213499,https://www.airbnb.com/rooms/10213499,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,1,1125,moderate,2,0,1,26,117,0,0,1,61,97.0,"TV, Cable TV, Internet, Wifi, Pool, Kitchen, Free parking on premises, Pets live on this property, Dog(s), Heating, Washer, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection",634664,Tracy,Australia,151.29792,-33.71472,True
10264100,https://www.airbnb.com/rooms/10264100,Your spot in Copacabana,Apartment,Entire home/apt,2,15,strict_14_with_grace_period,6,2,5,247,798,500,150,4,8,100.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Window guards, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Host greets you",52772199,Ana Lúcia,Brazil,-43.17714541632985,-22.96270793328072,False
10209136,https://www.airbnb.com/rooms/10209136,"Friendly Apartment, 10m from Manly",Apartment,Private room,1,1125,flexible,2,1,1,0,36,0,0,2,4,95.0,"Internet, Wifi, Kitchen, Free parking on premises, Heating, Family/kid friendly, Washer, Dryer, First aid kit, Essentials",52453573,Isaac,Australia,151.26969,-33.79629,False
10220130,https://www.airbnb.com/rooms/10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,2,30,flexible,6,3,3,0,746,0,373,4,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Hot tub, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Safety card, Fire extinguisher, Essentials, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50",31553171,José Augusto,Brazil,-43.45296045334386,-23.008710784460312,True
10166986,https://www.airbnb.com/rooms/10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,5,1125,strict_14_with_grace_period,4,2,2,0,220,0,25,1,1,100.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Doorman, Gym, Elevator, Hot tub, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, 24-hour check-in, Hangers, Iron",14461742,Mohammed,United States,-73.93869,40.71552,True
10166883,https://www.airbnb.com/rooms/10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,3,6,strict_14_with_grace_period,9,3,4,0,180,199,59,4,22,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Free street parking, Buzzer/wireless intercom, Heating, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, 24-hour check-in, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Other",35215309,Vick,United States,-73.93943,40.79805,True
1016739,https://www.airbnb.com/rooms/1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,3,365,strict_14_with_grace_period,2,1,2,20,64,0,30,1,8,100.0,"TV, Internet, Wifi, Kitchen, Smoking allowed, Doorman, Free street parking, Family/kid friendly, Washer, Dryer, Smoke detector, Safety card, Fire extinguisher, Essentials, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Hot water",5595776,David,Australia,151.25541,-33.92398,True
10295352,https://www.airbnb.com/rooms/10295352,"Amazing and Big Apt, Ipanema Beach.",Apartment,Entire home/apt,1,1125,flexible,6,3,4,0,1999,0,0,1,0,95.0,"Cable TV, Wifi, Air conditioning, Wheelchair accessible, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Iron",52966539,Pedro,Brazil,-43.20465630892734,-22.983108745795256,False
10267144,https://www.airbnb.com/rooms/10267144,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,1,1125,strict_14_with_grace_period,3,1,1,345,858,1865,112,3,29,99.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Smoking allowed, Doorman, Breakfast, Elevator, Free street parking, Washer, First aid kit, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Luggage dropoff allowed, Long term stays allowed, Host greets you",4428126,Cesar,Brazil,-43.20056249420509,-22.98034625363379,True
10266175,https://www.airbnb.com/rooms/10266175,Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,3,180,moderate,4,1,2,246,95,0,130,1,32,98.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Elevator, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Long term stays allowed, Other, Paid parking on premises",42868615,Ray And Lise,United States,-158.20291,21.4818,True
